Sample #, Sensor #1, Sensor #2
0,0.0,-0.0
1,0.00392698072381,-0.00392698072381
2,0.00785390088871,-0.00785390088871
3,0.0117806999367,-0.0117806999367
4,0.0157073173118,-0.0157073173118
5,0.0196336924606,-0.0196336924606
6,0.0235597648336,-0.0235597648336
7,0.0274854738859,-0.0274854738859
8,0.0314107590781,-0.0314107590781
9,0.0353355598776,-0.0353355598776
10,0.0392598157591,-0.0392598157591
11,0.0431834662056,-0.0431834662056
12,0.0471064507096,-0.0471064507096
13,0.051028708774,-0.051028708774
14,0.0549501799124,-0.0549501799124
15,0.0588708036512,-0.0588708036512
16,0.0627905195293,-0.0627905195293
17,0.0667092671,-0.0667092671
18,0.0706269859312,-0.0706269859312
19,0.0745436156069,-0.0745436156069
20,0.0784590957278,-0.0784590957278
21,0.0823733659125,-0.0823733659125
22,0.0862863657979,-0.0862863657979
23,0.0901980350409,-0.0901980350409
24,0.0941083133185,-0.0941083133185
25,0.0980171403296,-0.0980171403296
26,0.101924455795,-0.101924455795
27,0.105830199459,-0.105830199459
28,0.109734311091,-0.109734311091
29,0.113636730484,-0.113636730484
30,0.117537397458,-0.117537397458
31,0.12143625186,-0.12143625186
32,0.125333233564,-0.125333233564
33,0.129228282475,-0.129228282475
34,0.133121338527,-0.133121338527
35,0.137012341682,-0.137012341682
36,0.140901231938,-0.140901231938
37,0.144787949322,-0.144787949322
38,0.148672433897,-0.148672433897
39,0.152554625759,-0.152554625759
40,0.15643446504,-0.15643446504
41,0.160311891908,-0.160311891908
42,0.164186846569,-0.164186846569
43,0.168059269265,-0.168059269265
44,0.171929100279,-0.171929100279
45,0.175796279934,-0.175796279934
46,0.179660748593,-0.179660748593
47,0.183522446661,-0.183522446661
48,0.187381314586,-0.187381314586
49,0.191237292859,-0.191237292859
50,0.195090322016,-0.195090322016
51,0.198940342639,-0.198940342639
52,0.202787295357,-0.202787295357
53,0.206631120843,-0.206631120843
54,0.210471759821,-0.210471759821
55,0.214309153065,-0.214309153065
56,0.218143241397,-0.218143241397
57,0.221973965689,-0.221973965689
58,0.225801266869,-0.225801266869
59,0.229625085914,-0.229625085914
60,0.233445363856,-0.233445363856
61,0.237262041782,-0.237262041782
62,0.241075060833,-0.241075060833
63,0.244884362209,-0.244884362209
64,0.248689887165,-0.248689887165
65,0.252491577015,-0.252491577015
66,0.256289373133,-0.256289373133
67,0.260083216952,-0.260083216952
68,0.263873049965,-0.263873049965
69,0.26765881373,-0.26765881373
70,0.271440449865,-0.271440449865
71,0.275217900052,-0.275217900052
72,0.278991106039,-0.278991106039
73,0.282760009638,-0.282760009638
74,0.286524552728,-0.286524552728
75,0.290284677254,-0.290284677254
76,0.294040325232,-0.294040325232
77,0.297791438745,-0.297791438745
78,0.301537959944,-0.301537959944
79,0.305279831056,-0.305279831056
80,0.309016994375,-0.309016994375
81,0.31274939227,-0.31274939227
82,0.316476967182,-0.316476967182
83,0.320199661627,-0.320199661627
84,0.323917418198,-0.323917418198
85,0.327630179562,-0.327630179562
86,0.331337888463,-0.331337888463
87,0.335040487723,-0.335040487723
88,0.338737920245,-0.338737920245
89,0.342430129009,-0.342430129009
90,0.346117057077,-0.346117057077
91,0.349798647592,-0.349798647592
